Size, FIFO, SSTF, SCAN, C-SCAN
878, 3.41104, 2.00977, 2.0074, 2.00894
879, 3.41448, 2.00729, 2.0053, 2.00667
880, 3.41306, 2.00818, 2.0063, 2.00765
881, 3.41307, 2.00778, 2.00611, 2.00736
882, 3.40945, 2.00711, 2.00554, 2.0067
883, 3.41389, 2.00767, 2.00557, 2.00689
884, 3.41485, 2.00891, 2.00668, 2.0079
885, 3.41689, 2.009, 2.00707, 2.00837
886, 3.41488, 2.00777, 2.00645, 2.00777
887, 3.41215, 2.00752, 2.00575, 2.0068
888, 3.41286, 2.00783, 2.004, 2.00554
889, 3.4131, 2.00695, 2.00484, 2.00614
890, 3.41498, 2.01047, 2.00797, 2.00914
891, 3.41544, 2.01137, 2.00957, 2.01103
892, 3.416, 2.00893, 2.00737, 2.00866
893, 3.41941, 2.00801, 2.00587, 2.00718
894, 3.41481, 2.01018, 2.00793, 2.00903
895, 3.41255, 2.0046, 2.00291, 2.00433
896, 3.4159, 2.0121, 2.00962, 2.01092
897, 3.41203, 2.0081, 2.00637, 2.00766
898, 3.41481, 2.00987, 2.00789, 2.00928
899, 3.41601, 2.00794, 2.00722, 2.00848
900, 3.41638, 2.00833, 2.00652, 2.00786
901, 3.415, 2.0068, 2.00384, 2.00513
902, 3.41402, 2.00783, 2.00589, 2.00714
903, 3.41516, 2.00748, 2.00621, 2.00758
904, 3.41599, 2.00653, 2.00424, 2.00574
905, 3.41229, 2.00784, 2.00633, 2.00763
906, 3.41354, 2.00775, 2.00537, 2.00655
907, 3.41165, 2.00717, 2.00547, 2.00677
908, 3.41697, 2.00873, 2.00738, 2.00871
909, 3.40836, 2.00846, 2.00631, 2.00765
910, 3.41616, 2.00637, 2.00398, 2.00522
911, 3.41378, 2.00955, 2.00791, 2.00932
912, 3.41591, 2.00824, 2.00703, 2.00842
913, 3.41799, 2.00969, 2.00762, 2.00914
914, 3.41232, 2.00771, 2.00532, 2.0062
915, 3.41467, 2.00666, 2.00394, 2.0051
916, 3.41091, 2.00774, 2.00525, 2.00659
917, 3.41289, 2.00856, 2.0066, 2.00783
918, 3.41709, 2.00564, 2.00432, 2.00577
919, 3.41405, 2.0086, 2.00764, 2.00908
920, 3.41419, 2.0064, 2.00523, 2.00643
921, 3.41553, 2.00788, 2.00622, 2.00744
922, 3.41769, 2.00783, 2.0051, 2.00637
923, 3.41456, 2.00656, 2.00548, 2.00669
924, 3.41736, 2.00655, 2.00479, 2.0058
925, 3.41606, 2.00747, 2.00534, 2.00654
926, 3.41363, 2.00557, 2.00462, 2.00612
927, 3.41732, 2.0099, 2.00723, 2.00867
928, 3.41141, 2.00922, 2.00785, 2.00911
929, 3.41122, 2.00777, 2.00546, 2.00649
930, 3.41415, 2.00655, 2.00438, 2.00567
931, 3.41278, 2.00764, 2.00603, 2.00725
932, 3.41394, 2.0093, 2.0065, 2.00771
933, 3.41322, 2.00524, 2.00358, 2.00481
934, 3.41218, 2.00648, 2.00424, 2.00539
935, 3.41319, 2.00862, 2.00668, 2.00793
936, 3.41055, 2.00699, 2.00425, 2.00557
937, 3.4149, 2.00706, 2.00566, 2.00693
938, 3.41522, 2.01103, 2.0084, 2.00947
939, 3.41487, 2.00387, 2.00212, 2.00327
940, 3.41811, 2.00735, 2.00612, 2.00737
941, 3.41017, 2.00561, 2.00412, 2.0056
942, 3.41407, 2.00496, 2.00425, 2.00556
943, 3.41342, 2.00541, 2.00353, 2.00491
944, 3.41334, 2.01118, 2.00922, 2.01055
945, 3.41444, 2.00877, 2.00762, 2.00898
946, 3.41468, 2.01104, 2.01049, 2.01181
947, 3.41391, 2.00788, 2.00612, 2.0073
948, 3.41091, 2.005, 2.00358, 2.00495
949, 3.41494, 2.00555, 2.00366, 2.00486
950, 3.41387, 2.00792, 2.00554, 2.00684
951, 3.4139, 2.0071, 2.00544, 2.0064
952, 3.41618, 2.00855, 2.00688, 2.00806
953, 3.41402, 2.00543, 2.00318, 2.00451
954, 3.41237, 2.00484, 2.00354, 2.00468
955, 3.41659, 2.00816, 2.00584, 2.00717
956, 3.41507, 2.00874, 2.00699, 2.00801
957, 3.41539, 2.00805, 2.00685, 2.00814
958, 3.41723, 2.0072, 2.00531, 2.0065
959, 3.41639, 2.00611, 2.00486, 2.00603
960, 3.41482, 2.00771, 2.00667, 2.00786
961, 3.41401, 2.00783, 2.00599, 2.00719
962, 3.4146, 2.00661, 2.00497, 2.00604
963, 3.41825, 2.01053, 2.00763, 2.00865
964, 3.41803, 2.00929, 2.0073, 2.00855
965, 3.41507, 2.00849, 2.00701, 2.00827
966, 3.41313, 2.00576, 2.00451, 2.00579
967, 3.41572, 2.00803, 2.00658, 2.00781
968, 3.41647, 2.00915, 2.00695, 2.00807
969, 3.41365, 2.00372, 2.0028, 2.00384
970, 3.41216, 2.00683, 2.00481, 2.00592
971, 3.41344, 2.00744, 2.00538, 2.0067
972, 3.41791, 2.00747, 2.00565, 2.00695
973, 3.41427, 2.00853, 2.00664, 2.00772
974, 3.41183, 2.00643, 2.00496, 2.00604
975, 3.41376, 2.00952, 2.00814, 2.00931
976, 3.41789, 2.01072, 2.00835, 2.00978
977, 3.41161, 2.00847, 2.00653, 2.00773
978, 3.41433, 2.00898, 2.0065, 2.00767
979, 3.4158, 2.0076, 2.00654, 2.00767
980, 3.41589, 2.00853, 2.00661, 2.00782
981, 3.41243, 2.00609, 2.00439, 2.00552
982, 3.41254, 2.0072, 2.0048, 2.00574
983, 3.41485, 2.00722, 2.0053, 2.00639
984, 3.41451, 2.00598, 2.00452, 2.00556
